"x","y","g solids/m2.yr"
205712.5,771162.5,0.000
205737.5,771162.5,0.000
205762.5,771162.5,0.000
205787.5,771162.5,0.000
205812.5,771162.5,0.000
205837.5,771162.5,0.000
205862.5,771162.5,0.000
205887.5,771162.5,0.000
205912.5,771162.5,0.000
205937.5,771162.5,0.000
205962.5,771162.5,0.000
205987.5,771162.5,0.000
206012.5,771162.5,0.000
206037.5,771162.5,0.000
206062.5,771162.5,0.000
206087.5,771162.5,0.000
206112.5,771162.5,0.000
206137.5,771162.5,0.000
206162.5,771162.5,0.000
206187.5,771162.5,0.000
206212.5,771162.5,0.000
206237.5,771162.5,0.000
206262.5,771162.5,0.000
206287.5,771162.5,0.000
206312.5,771162.5,0.000
206337.5,771162.5,0.000
206362.5,771162.5,0.000
206387.5,771162.5,12.475
206412.5,771162.5,0.000
206437.5,771162.5,0.000
206462.5,771162.5,0.000
206487.5,771162.5,0.000
206512.5,771162.5,0.000
206537.5,771162.5,0.000
206562.5,771162.5,0.000
206587.5,771162.5,0.000
206612.5,771162.5,0.000
206637.5,771162.5,0.000
206662.5,771162.5,0.000
205712.5,771137.5,0.000
205737.5,771137.5,0.000
205762.5,771137.5,0.000
205787.5,771137.5,0.000
205812.5,771137.5,0.000
205837.5,771137.5,0.000
205862.5,771137.5,0.000
205887.5,771137.5,0.000
205912.5,771137.5,0.000
205937.5,771137.5,0.000
205962.5,771137.5,0.000
205987.5,771137.5,0.000
206012.5,771137.5,0.000
206037.5,771137.5,0.000
206062.5,771137.5,0.000
206087.5,771137.5,0.000
206112.5,771137.5,0.000
206137.5,771137.5,0.000
206162.5,771137.5,0.000
206187.5,771137.5,0.000
206212.5,771137.5,0.000
206237.5,771137.5,0.000
206262.5,771137.5,0.000
206287.5,771137.5,0.000
206312.5,771137.5,0.000
206337.5,771137.5,0.000
206362.5,771137.5,0.000
206387.5,771137.5,0.000
206412.5,771137.5,0.000
206437.5,771137.5,0.000
206462.5,771137.5,0.000
206487.5,771137.5,0.000
206512.5,771137.5,0.000
206537.5,771137.5,0.000
206562.5,771137.5,0.000
206587.5,771137.5,0.000
206612.5,771137.5,0.000
206637.5,771137.5,0.000
206662.5,771137.5,0.000
205712.5,771112.5,0.000
205737.5,771112.5,0.000
205762.5,771112.5,0.000
205787.5,771112.5,0.000
205812.5,771112.5,0.000
205837.5,771112.5,0.000
205862.5,771112.5,0.000
205887.5,771112.5,0.000
205912.5,771112.5,0.000
205937.5,771112.5,0.000
205962.5,771112.5,0.000
205987.5,771112.5,0.000
206012.5,771112.5,0.000
206037.5,771112.5,0.000
206062.5,771112.5,0.000
206087.5,771112.5,0.000
206112.5,771112.5,0.000
206137.5,771112.5,0.000
206162.5,771112.5,0.000
206187.5,771112.5,0.000
206212.5,771112.5,0.000
206237.5,771112.5,0.000
206262.5,771112.5,0.000
206287.5,771112.5,12.475
206312.5,771112.5,0.000
206337.5,771112.5,0.000
206362.5,771112.5,12.475
206387.5,771112.5,0.000
206412.5,771112.5,12.475
206437.5,771112.5,0.000
206462.5,771112.5,0.000
206487.5,771112.5,0.000
206512.5,771112.5,0.000
206537.5,771112.5,0.000
206562.5,771112.5,0.000
206587.5,771112.5,0.000
206612.5,771112.5,0.000
206637.5,771112.5,0.000
206662.5,771112.5,0.000
205712.5,771087.5,0.000
205737.5,771087.5,0.000
205762.5,771087.5,0.000
205787.5,771087.5,0.000
205812.5,771087.5,0.000
205837.5,771087.5,0.000
205862.5,771087.5,0.000
205887.5,771087.5,0.000
205912.5,771087.5,0.000
205937.5,771087.5,0.000
205962.5,771087.5,0.000
205987.5,771087.5,0.000
206012.5,771087.5,0.000
206037.5,771087.5,0.000
206062.5,771087.5,0.000
206087.5,771087.5,0.000
206112.5,771087.5,0.000
206137.5,771087.5,0.000
206162.5,771087.5,0.000
206187.5,771087.5,0.000
206212.5,771087.5,0.000
206237.5,771087.5,0.000
206262.5,771087.5,0.000
206287.5,771087.5,0.000
206312.5,771087.5,0.000
206337.5,771087.5,0.000
206362.5,771087.5,0.000
206387.5,771087.5,12.475
206412.5,771087.5,0.000
206437.5,771087.5,0.000
206462.5,771087.5,0.000
206487.5,771087.5,0.000
206512.5,771087.5,0.000
206537.5,771087.5,0.000
206562.5,771087.5,0.000
206587.5,771087.5,0.000
206612.5,771087.5,12.475
206637.5,771087.5,0.000
206662.5,771087.5,0.000
205712.5,771062.5,0.000
205737.5,771062.5,0.000
205762.5,771062.5,0.000
205787.5,771062.5,0.000
205812.5,771062.5,0.000
205837.5,771062.5,0.000
205862.5,771062.5,0.000
205887.5,771062.5,0.000
205912.5,771062.5,0.000
205937.5,771062.5,0.000
205962.5,771062.5,0.000
205987.5,771062.5,0.000
206012.5,771062.5,0.000
206037.5,771062.5,0.000
206062.5,771062.5,0.000
206087.5,771062.5,0.000
206112.5,771062.5,0.000
206137.5,771062.5,0.000
206162.5,771062.5,0.000
206187.5,771062.5,0.000
206212.5,771062.5,0.000
206237.5,771062.5,0.000
206262.5,771062.5,0.000
206287.5,771062.5,0.000
206312.5,771062.5,0.000
206337.5,771062.5,0.000
206362.5,771062.5,37.426
206387.5,771062.5,12.475
206412.5,771062.5,0.000
206437.5,771062.5,0.000
206462.5,771062.5,0.000
206487.5,771062.5,0.000
206512.5,771062.5,0.000
206537.5,771062.5,0.000
206562.5,771062.5,0.000
206587.5,771062.5,0.000
206612.5,771062.5,0.000
206637.5,771062.5,0.000
206662.5,771062.5,0.000
205712.5,771037.5,0.000
205737.5,771037.5,0.000
205762.5,771037.5,0.000
205787.5,771037.5,0.000
205812.5,771037.5,0.000
205837.5,771037.5,0.000
205862.5,771037.5,0.000
205887.5,771037.5,0.000
205912.5,771037.5,0.000
205937.5,771037.5,0.000
205962.5,771037.5,0.000
205987.5,771037.5,0.000
206012.5,771037.5,0.000
206037.5,771037.5,0.000
